No.,Title,Artist,Year,duration_sec
1,Prisoner of Love,Perry Como,1946,207.2
2,To Each His Own,Eddy Howard,1946,184.293
3,The Gypsy,Ink Spots,1946,164.533
4,Five Minutes More,Frank Sinatra,1946,154.773
5,Rumors Are Flying,Frankie Carle,1946,183.133
6,Oh! What It Seemed to Be,Frankie Carle,1946,115.133
7,Personality,Johnny Mercer and The Pied Pipers,1946,222.386
8,"South America, Take It Away",Bing Crosby and The Andrews Sisters,1946,187.293
9,The Gypsy,Dinah Shore,1946,177.266
10,Oh! What It Seemed to Be,Frank Sinatra,1946,206.133
11,Surrender,Perry Como,1946,191.306
12,"Doctor, Lawyer, Indian Chief",Betty Hutton,1946,186.186
13,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,1946,188.333
14,To Each His Own,Freddy Martin,1946,191.293
15,Ole Buttermilk Sky,Kay Kyser,1946,177.506
16,To Each His Own,Ink Spots,1946,190
17,Symphony,Freddy Martin,1946,197.88
18,The Old Lamp-Lighter,Sammy Kaye,1946,142.493
19,I Can't Begin to Tell You,Bing Crosby and Carmen Cavallaro,1946,174.6
20,I'm a Big Girl Now,Sammy Kaye,1946,187.82
21,Symphony,Bing Crosby,1946,159.346
22,The Gypsy,Sammy Kaye,1946,187.82
23,Doin' What Comes Natur'lly,Dinah Shore with the Spade Cooley Orchestra,1946,188.706
24,Laughing on the Outside (Crying on the Inside),Dinah Shore,1946,186.96
25,Five Minutes More,Tex Beneke with the Glenn Miller Orchestra,1946,199.5
26,Laughing on the Outside (Crying on the Inside),Andy Russell,1946,180.2
27,Hey! Ba-Ba-Re-Bop,Tex Beneke with the Glenn Miller Orchestra,1946,115.696
28,They Say It's Wonderful,Perry Como,1946,156.026
29,To Each His Own,Tony Martin,1946,189.8
30,You Won't Be Satisfied (Until You Break My Heart),Les Brown,1946,183.4
31,Symphony,Benny Goodman,1946,188.506
32,Oh! What It Seemed to Be,Charlie Spivak,1946,156.494
33,Doin' What Comes Natur'lly,Freddy Martin,1946,193.75
34,The Old Lamp-Lighter,Kay Kyser,1946,199.16
35,Oh! What It Seemed to Be,Dick Haymes and Helen Forrest,1946,149.025
36,Rumors Are Flying,The Andrews Sisters and Les Paul Trio,1946,354.463
37,Dig You Later (A Hubba-Hubba-Hubba),Perry Como,1946,182.973
38,Symphony,Jo Stafford,1946,150
39,To Each His Own,The Modernaires and Paula Kelly,1946,189.773
40,Sioux City Sue,Bing Crosby and the Jesters,1946,181.466
41,(I Love You) For Sentimental Reasons,King Cole Trio,1946,172.666
1,Near You,Francis Craig,1947,285.414
2,Peg o' My Heart,The Harmonicats,1947,133.813
3,Heartaches,Ted Weems,1947,157.106
4(Tie),Linda,Ray Noble Orchestra and Buddy Clark,1947,151.666
4(Tie),Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,1947,163.333
5,I Wish I Didn't Love You So,Vaughn Monroe,1947,164.653
6,Peg o' My Heart,The Three Suns,1947,143.767
7,The Anniversary Song,Al Jolson,1947,184.16
8,Near You,Larry Green Orchestra,1947,204.293
9,That's My Desire,Sammy Kaye,1947,135.333
10,Ballerina,Vaughn Monroe,1947,207.333
11(Tie),"Managua, Nicaragua",Freddy Martin,1947,172.773
11(Tie),Mam'selle,Art Lund,1947,196.546
12(Tie),"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",Perry Como,1947,176.84
12(Tie),Temptation (Tim-Tayshun),Red Ingle and The Natural Seven and Jo Stafford,1947,162.893
13,I Wonder Who's Kissing Her Now,Ted Weems and Perry Como,1947,189.56
14,Near You,The Andrews Sisters,1947,184.2
15,The Old Lamp-Lighter,Sammy Kaye,1947,142.493
