No.,Title,Artist,Year,duration_sec,genre
1,Prisoner of Love,Perry Como,1946,207.2,christmas
2,To Each His Own,Eddy Howard,1946,184.293,big band
3,The Gypsy,Ink Spots,1946,164.533,adult standards
1,Near You,Francis Craig,1947,285.414,bollywood
2,Peg o' My Heart,The Harmonicats,1947,133.813,exotica
3,Heartaches,Ted Weems,1947,157.106,ragtime
1,Twelfth Street Rag,Pee Wee Hunt,1948,172.96,ragtime
2,Maí±ana (Is Soon Enough for Me),Peggy Lee,1948,178.253,vocal jazz
3,Now Is the Hour,Bing Crosby,1948,189.293,christmas
1,Riders in the Sky,Vaughn Monroe,1949,176.706,big band
2,That Lucky Old Sun,Frankie Laine,1949,179.466,NA
3,You're Breaking My Heart,Vic Damone,1949,203.2,adult standards
1,Goodnight Irene,Gordon Jenkins & The Weavers,1950,202.24,christmas
2,Mona Lisa,Nat King Cole,1950,194.986,christmas
3,Third Man Theme,Anton Karas,1950,135.627,NA
1,Too Young,Nat King Cole,1951,204.626,christmas
2,Because of You,Tony Bennett,1951,242.04,vocal jazz
3,How High the Moon,Les Paul & Mary Ford,1951,127.266,NA
1,Blue Tango,Leroy Anderson,1952,169.426,christmas
2,Wheel of Fortune,Kay Starr,1952,189.666,christmas
3,Cry,Johnnie Ray & The Four Lads,1952,182.773,adult standards
1,The Song from Moulin Rouge,Percy Faith,1953,346.733,orchestra
2,Vaya con Dios,Les Paul & Mary Ford,1953,174.6,NA
3,(How Much Is) That Doggie in the Window?,Patti Page,1953,149.626,adult standards
1,Little Things Mean a Lot,Kitty Kallen,1954,179.146,NA
2,Wanted,Perry Como,1954,185.093,christmas
3,Hey There,Rosemary Clooney,1954,178.333,vocal jazz
1,Cherry Pink And Apple Blossom White,Perez Prado,1955,189.64,mambo
2,Rock Around the Clock,Bill Haley & His Comets,1955,129.893,rockabilly
3,The Yellow Rose of Texas,Mitch Miller,1955,181.066,NA
1,Heartbreak Hotel,Elvis Presley,1956,127.96,rockabilly
2,Don't Be Cruel,Elvis Presley,1956,122.866,rockabilly
3,Lisbon Antigua,Nelson Riddle,1956,157.24,exotica
1,All Shook Up,Elvis Presley,1957,118.066,rockabilly
2,Love Letters in the Sand,Pat Boone,1957,135.64,adult standards
3,Little Darlin',The Diamonds,1957,129.333,doo-wop
1,Volare (Nel blu dipinto di blu),Domenico Modugno,1958,216.373,italian singer-songwriter
2,"All I Have to Do Is Dream"" / ""Claudette",The Everly Brothers,1958,143.333,doo-wop
3,"Don't"" / ""I Beg of You",Elvis Presley,1958,130.964,comedy
1,The Battle of New Orleans,Johnny Horton,1959,151.626,rockabilly
2,Mack the Knife,Bobby Darin,1959,184.333,big band
3,Personality,Lloyd Price,1959,155.213,doo-wop
1,Theme from A Summer Place,Percy Faith,1960,142.693,orchestra
2,He'll Have to Go,Jim Reeves,1960,138.64,christian country
3,Cathy's Clown,The Everly Brothers,1960,144.013,doo-wop
1,Tossin' and Turnin',Bobby Lewis,1961,159.64,doo-wop
2,I Fall to Pieces,Patsy Cline,1961,171.333,NA
3,Michael,The Highwaymen,1961,165.559,NA
1,Stranger on the Shore,Acker Bilk,1962,198.333,NA
2,I Can't Stop Loving You,Ray Charles,1962,255.04,jazz blues
3,Mashed Potato Time,Dee Dee Sharp,1962,150.866,philly soul
1,Surfin' U.S.A.,The Beach Boys,1963,150.16,baroque pop
2,The End of the World,Skeeter Davis,1963,157.573,NA
3,Rhythm of the Rain,The Cascades,1963,146.36,doo-wop
1,I Want to Hold Your Hand,The Beatles,1964,145.746,classic rock
2,She Loves You,The Beatles,1964,141.333,classic rock
3,"Hello, Dolly!",Louis Armstrong,1964,147,jazz
1,Wooly Bully,Sam the Sham and the Pharaohs,1965,141.613,NA
2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,160.28,motown
3,(I Can't Get No) Satisfaction,The Rolling Stones,1965,222.813,classic rock
1,California Dreamin',The Mamas & the Papas,1966,162.373,folk rock
2,96 Tears,? and the Mysterians,1966,176.866,proto-punk
3,What Becomes of the Brokenhearted,Jimmy Ruffin,1966,178.44,motown
1,To Sir With Love,Lulu,1967,166.693,NA
2,The Letter,The Box Tops,1967,112.8,NA
3,Ode to Billie Joe,Bobbie Gentry,1967,255.001,NA
1,Hey Jude,The Beatles,1968,238.854,classic rock
2,Love is Blue,Paul Mauriat,1968,153.613,orchestra
3,Honey,Bobby Goldsboro,1968,238.733,NA
1,"Sugar, Sugar",The Archies,1969,167.186,NA
2,Aquarius/Let the Sunshine In,The 5th Dimension,1969,289.293,NA
3,I Can't Get Next to You,The Temptations,1969,174.933,motown
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,293.12,folk rock
2,(They Long to Be) Close to You,The Carpenters,1970,276,christmas
3,American Woman,The Guess Who,1970,231.835,classic rock
1,Joy to the World,Three Dog Night,1971,220.573,NA
2,"Maggie May""/""Reason to Believe",Rod Stewart,1971,350.146,soft rock
3,"It's Too Late""/""I Feel the Earth Move",Carole King,1971,258.16,NA
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,260.666,adult standards
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,221.373,NA
3,American Pie,Don McLean,1972,516.893,NA
1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,201.174,NA
2,"Bad, Bad Leroy Brown",Jim Croce,1973,179.466,folk rock
3,Killing Me Softly with His Song,Roberta Flack,1973,286.92,adult standards
1,The Way We Were,Barbra Streisand,1974,211.093,adult standards
2,Seasons in the Sun,Terry Jacks,1974,208.853,NA
3,Love's Theme,Love Unlimited Orchestra,1974,246.266,philly soul
1,Love Will Keep Us Together,Captain & Tennille,1975,205.493,soft rock
