No.,Title,Artist,Year,duration_sec,genre,url,lyrics
1,Prisoner of Love,Perry Como,1946,207.2,christmas,https://www.songlyrics.com/perry-como/prisoner-of-love-lyrics/,"Alone from night to night you'll find me
Too weak to break the chains that bind me
I need no shackles to remind me
I'm just a prisoner of love
For one command I stand and wait now
From one who's master of my fate now
I can't escape for it's too late now
I'm just a prisoner of love
What's the good of my caring
If someone is sharing those arms with me
Although she has another
I can't have another, for I'm not free
She's in my dreams awake or sleeping
Upon my knees to her I'm creeping
My very life is in her keeping
I'm just a prisoner of love
What's the good of my caring
If someone is sharing those arms with me
Although she has another
I can't have another, for I'm not free
She's in my dreams awake or sleeping
Upon my knees to her I'm creeping
My very life is in her keeping
I'm just a prisoner of love"
2,To Each His Own,Eddy Howard,1946,184.293,big band,https://www.songlyrics.com/eddy-howard/to-each-his-own-lyrics/,"A rose must remain with the sun and the rain
Or its lovely promise won't come true
To each his own, to each his own
And my own is you
What good is a song if the words just don't belong?
And a dream must be a dream for two
No good alone, to each his own
For me there's you
[Chorus]
If a flame is to grow there must be a glow
To open each door there's a key
I need you, I know, I can't let you go
Your touch means too much to me
Two lips must insist on two more to be kissed
Or they'll never know what love can do
To each his own, I've found my own
One and only you
[Chorus]
Two lips must insist on two more to be kissed
Or they'll never know what love can do
To each his own, I've found my own
One and only you"
3,The Gypsy,Ink Spots,1946,164.533,adult standards,https://www.songlyrics.com/ink-spots/the-gypsy-lyrics/,"Ink Spots
Miscellaneous
The Gypsy
THE GYPSY
Ink Spots/Dinah Shore
- words and music by Billy Reid
- popularized by Fanny Rose Shore (better known as Dinah Shore)
- also a big hit for The Ink Spots
- recorded by Charlie ""Bird"" Parker in 1946 the same day he suffered
a breakdown caused by his drug addiction
In a quaint caravan
There's a lady they call The Gypsy
She can look in the future
And drive away all your fears
Everything will come right
If you only believe The Gypsy
She could tell at a glance
That my heart was so full of tears
She looked at my hand and told me
My lover was always true
And yet in my heart I knew, dear
Somebody else was kissing you
But I'll go there again
'Cause I want to believe The Gypsy
That my lover is true
And will come back to me some day
----------------------------------"
1,Near You,Francis Craig,1947,285.414,bollywood,https://www.songlyrics.com/francis-craig/near-you-lyrics/,"There's just one place for me, near you
It's like heaven to be, near you
Times when we're apart
I can't face my heart
Say you'll never stray
More than just two lips away
If my hours could be spent near you
I'd be more than content near you
Make my life worthwhile
By telling me that I'll
Spend the rest of my days near you
There is just one place for me, I'm happy when I'm near you
It's wonderful as heaven, a special kind of heaven, but only when I'm near you
Times when we're apart I wonder how I can face my heart
Say you'll never stray
More than just two lips away
If my waking hours could be spent while near you
I would be content, wonderfully content, just to be near you
Make my life worthwhile
By telling me that I'll
Spend the rest of my days
All of those happy, happy days
So near you"
2,Peg o' My Heart,The Harmonicats,1947,133.813,exotica,https://www.songlyrics.com/the-harmonicats/peg-o-my-heart-lyrics/,NA
3,Heartaches,Ted Weems,1947,157.106,ragtime,https://www.songlyrics.com/ted-weems/heartaches-lyrics/,"Ted Weems
Miscellaneous
Heartaches
HEARTACHES
Ted Weems
- words by John Klenner, music by Al Hoffman
Heartaches
Heartaches
My loving you meant only heartaches
Your kiss was such a sacred thing to me
I can't believe it's just a burning memory
Heartaches
Heartaches
What does it matter how my heart breaks?
I should be happy with someone new
But my heart aches for you"
1,Twelfth Street Rag,Pee Wee Hunt,1948,172.96,ragtime,https://www.songlyrics.com/pee-wee-hunt/twelfth-street-rag-lyrics/,NA
2,Maana (Is Soon Enough for Me),Peggy Lee,1948,178.253,vocal jazz,https://www.songlyrics.com/peggy-lee/maana-is-soon-enough-for-me-lyrics/,"The faucet she is dripping and the fence she's fallin' down
My pocket needs some money, so I can't go into town
My brother isn't working and my sister doesn't care
The car she needs a motor so I can't go anywhere
(Mañana, mañana, mañana is soon enough for me)
My mother's always working, she's working very hard
But every time she looks for me I'm sleeping in the yard
My mother thinks I'm lazy and maybe she is right
I'll go to work mañana but I gotta sleep tonight
(Mañana, mañana, mañana is soon enough for me)
Oh, once I had some money but I gave it to my friend
He said he'd pay me double, it was only for a lend
But he said a little later that the horse she was so slow
Why he give the horse my money is something I don't know
(Mañana, mañana, mañana is soon enough for me)
(Mañana, mañana, mañana is soon enough for me)
My brother took a suitcase and he went away to school
My father said he only learned to be a silly fool
My father said that I should learn to make a chile pot
But then I burned the house down, the chile was too hot
(Mañana, mañana, mañana is soon enough for me)
The window she is broken and the rain is comin' in
If someone doesn't fix it I'll be soaking to my skin
But if we wait a day or two the rain may go away
And we don't need a window on such a sunny day
(Mañana, mañana, mañana is soon enough for me)
Oba! Oba!
(Mañana, mañana, mañana is soon enough for me)
Oba! Oba!"
3,Now Is the Hour,Bing Crosby,1948,189.293,christmas,https://www.songlyrics.com/bing-crosby/now-is-the-hour-lyrics/,"Bing Crosby
Miscellaneous
Now Is The Hour
NOW IS THE HOUR
Bing Crosby
(Scott, Kaihau)
- Bing recorded ""Now is the Hour"" and ""Silver Threads Among the Gold"" on
Nov. 8, 1947, without orchestral support. Bing's only accompaniment for
these songs were the voices of the Ken Darby Choir. Nevertheless, ""Now is
the Hour"" climbed to the top of the Billboard charts in 1948, where it stayed
for 3 weeks. The song remained on the charts an amazing 23 weeks. ""Now is
the Hour"" is based on a traditional New Zealand song ""Hearere Ra."" The song
turned out to be Bing's 42nd and last single to reach the top spot on the
pop charts. No one before or since has been able to come close to this
achievement.
Now is the hour
When we must say goodbye.
Soon you'll be sailing
Far across the sea.
While you're away
Oh, then, remember me.
When you return
You'll find me waiting here.
Sunset glow fades in the west.
Night o'er the valley is creeping.
Birds cuddle down in their nest
Soon all the world will be sleeping.
Now is the hour
When we must goodbye.
Soon you'll be sailing
Far across the sea.
While you're away
Oh, then, remember me.
When you return
You'll find me waiting here."
1,Riders in the Sky,Vaughn Monroe,1949,176.706,big band,https://www.songlyrics.com/vaughn-monroe/riders-in-the-sky-lyrics/,We do not have the lyrics for Riders in the Sky yet.
